DJmag_top_track_year,artist,title,bpm,genre
2021,A Sagittariun,Inner Frontier,69,Techno (Raw / Deep / Hypnotic)
2021,Anz,You Could Be,124,Dance / Pop
2021,Ayesha,Ecstatic Descent,140,Breaks / Breakbeat / UK Bass
2021,Bonobo,Otomo,126,Electronica
2021,Bruise,Joy,123,House
2021,Burial,Chemz,146,Electronica
2021,Calibre,Badman,103,140 / Deep Dubstep / Grime
2021,Elkka,Burnt Orange,122,Electronica
2021,Ewan McVicar,Tell Me Something Good,126,House
2021,Gabriels,Love and Hate in a Different Time,,
2021,Hammer,I Wanna Be Like You,139,Indie Dance
2021,India Jordan,And Groove,,
2021,Jayda G,All I Need,120,Deep House
2021,Joaquin Joe Claussell,Air We Breathe,120,Deep House
2021,John Glacier,Boozy,83,House
2021,Jubei,Show Me,86,Drum & Bass
2021,Kameliia,Less Effects,140,Techno (Peak Time / Driving)
2021,Kasango,Closer,120,Afro House
2021,Little Simz,Introvert,,
2021,LMajor,Can’t Do It,163,Drum & Bass
2021,Nia Archives,Headz Gone West,88,Drum & Bass
2021,Lyra Pramuk,Everything Is Beautiful & Alive,,
2021,Mainline Magic Orchestra,Xumba Xumba,122,Indie Dance
2021,Octo Octa,Find Your Way Home,128,Melodic House & Techno
2021,osquinn,"from paris, with love",,
2021,Overmono,So U Kno,130,House
2021,Pa Salieu,Style & Fashion,,
2021,Parris,Skater’s World,97,Bass / Club
2021,PR SAD,Karma,,
2021,Qrion,Monolith,120,Melodic House & Techno
2021,Rochelle Jordan,LOVE YOU GOOD,87,Bass / Club
2021,Russ Millions,Body,141,Trap / Future Bass
2021,SHERELLE,160 Down The A406,100,Bass / Club
2021,Sleepnet,Angel Blade,121,Drum & Bass
2021,SOPHIE,BIPP,78,Dance / Pop
2021,SW2 feat. Moses Boyd,Dirty South,,
2021,The Colours That Rise,Polo 1.2,67,Electronica
2021,Tom VR,Fast Track To Bliss,99,Melodic House & Techno
2021,Voodoos,Doorway,132,Techno (Raw / Deep / Hypnotic)
2021,Zakes Bantwini,Osama,125,Afro House
2020,Dillinja,Sovereign Melody VIP,,
2020,Duval Timothy,Fall Again feat. Lil Silva & Melanie Faye,,
2020,Hudson Mohawke,Monte Fisto,84,Electronica
2020,3Phaz,Exploit,,
2020,Angel D,lite,126,Tech House
2020,Cinthie,Concentrate,,
2020,Loods,Pure Bliss Meltdown (Gerd Janson remix),,
2020,James Blake,Before,111,Dance / Pop
2020,Dark0,Oxygenesis,80,Trap / Future Bass
2020,Abra Cadabra,On Deck,71,Trap / Future Bass
2019,Big Miz,International Swayers Anthem,,
2019,Justin Unabomber,C’mon,120,House
2019,Colin Dale,The Guiding Light,126,Melodic House & Techno
2019,Bonobo,Ibrik,123,House
2019,Amit,Knuckle Duster,87,Drum & Bass
2019,Bala Bala Boyz,Baza Ba Skivere,124,Afro House
2019,Coco Bryce,Wish We Didn’t,90,Breaks / Breakbeat / UK Bass
2019,Leila Samir,Anxiety,135,Afro House
2019,Yuksek,I Don’t Have A Drum Machine,120,Nu Disco / Disco
2019,Cinthie,Australian Summer,122,House
2019,Finn,Do What You Want Forever,130,House
2019,Kornél Kovács,Marathon,127,Nu Disco / Disco
2019,Air Ma,Paroxysm,176,Dubstep
2019,AQXDM,Infrared,101,Dance / Pop
2019,KiNK,To Love You,165,House
2019,Midland,Frequency FM,90,Electronica
2019,Prospa,Intended,127,Electronica
2019,Session Victim,Dawn,122,Dance / Pop
2019,Fracture,Big Up The Ladies,160,Drum & Bass
2019,Lauren Fla,,,
2019,object blue,Ecstasy Of Saint Teresa,,
